id,memspec,mcconfig,addressmapping
97,HBM2.json,fr_fcfs_grp.json,am_ddr3_8x2Gbx8_dimm_p1KB_brc.json
98,HBM2.json,fr_fcfs_grp.json,am_ddr3_8x2Gbx8_dimm_p1KB_rbc.json
99,HBM2.json,fr_fcfs_grp.json,am_ddr3_x16_brc.json
100,HBM2.json,fr_fcfs_grp.json,am_ddr3_x16_rbc.json
101,HBM2.json,fr_fcfs_grp.json,am_ddr4_8x4Gbx8_dimm_p1KB_brc.json
102,HBM2.json,fr_fcfs_grp.json,am_hbm2_8Gb_pc_brc.json
103,HBM2.json,fr_fcfs_grp.json,am_lpddr4_1Gbx16_baroco.json
104,HBM2.json,fr_fcfs_grp.json,am_lpddr4_1Gbx16_robaco.json
105,HBM2.json,fr_fcfs_grp.json,am_lpddr4_1Gbx16_rocoba.json
106,HBM2.json,fr_fcfs_grp.json,am_lpddr4_512Mbx16_baroco.json
107,HBM2.json,fr_fcfs_grp.json,am_lpddr4_512Mbx16_robaco.json
108,HBM2.json,fr_fcfs_grp.json,am_lpddr4_512Mbx16_rocoba.json
109,HBM2.json,fr_fcfs_grp.json,am_lpddr4_8Gbx16_brc.json
110,HBM2.json,fr_fcfs_grp.json,am_stt-mram_8x2Gbx8_dimm_p1KB_rbc.json
111,HBM2.json,fr_fcfs_grp.json,am_wideio2_4x64_4x2Gb_brc.json
112,HBM2.json,fr_fcfs_grp.json,am_wideio2_4x64_4x2Gb_rbc.json
113,HBM2.json,fr_fcfs_grp.json,am_wideio_4x1Gb_brc.json
114,HBM2.json,fr_fcfs_grp.json,am_wideio_4x1Gb_rbc.json
115,HBM2.json,fr_fcfs_grp.json,am_wideio_4x256Mb_brc.json
116,HBM2.json,fr_fcfs_grp.json,am_wideio_4x256Mb_rbc.json
117,HBM2.json,fr_fcfs_grp.json,am_wideio_4x2Gb_brc.json
118,HBM2.json,fr_fcfs_grp.json,am_wideio_4x2Gb_rbc.json
119,HBM2.json,fr_fcfs_grp.json,am_wideio_4x4Gb_brc.json
120,HBM2.json,fr_fcfs_grp.json,am_wideio_4x4Gb_rbc.json
121,HBM2.json,fr_fcfs_grp.json,am_wideio_4x512Mb_brc.json
122,HBM2.json,fr_fcfs_grp.json,am_wideio_4x512Mb_rbc.json
123,HBM2.json,fr_fcfs_grp.json,am_wideio_thermal.json
124,HBM2.json,fr_fcfs_noref.json,am_ddr3_4x4Gbx16_dimm_p2KB_brc.json
125,HBM2.json,fr_fcfs_noref.json,am_ddr3_4x4Gbx16_dimm_p2KB_rbc.json
126,HBM2.json,fr_fcfs_noref.json,am_ddr3_8x1Gbx8_dimm_p1KB_brc.json
127,HBM2.json,fr_fcfs_noref.json,am_ddr3_8x1Gbx8_dimm_p1KB_rbc.json
128,HBM2.json,fr_fcfs_noref.json,am_ddr3_8x2Gbx8_dimm_p1KB_brc.json
129,HBM2.json,fr_fcfs_noref.json,am_ddr3_8x2Gbx8_dimm_p1KB_rbc.json
130,HBM2.json,fr_fcfs_noref.json,am_ddr3_x16_brc.json
131,HBM2.json,fr_fcfs_noref.json,am_ddr3_x16_rbc.json
